what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444483485311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483499030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483526989
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483527953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483534328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483535005
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444483537749
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444483538804
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483539670
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444483539728
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444483543682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483546643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483601383
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483601391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483602661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483646261
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483651551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1444483651552
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483652457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.forwardHistory",1444483652458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483653514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483654216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483655879
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444483656740
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444483657670
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444483658608
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/Users/MrBigBear/Desktop/SYSTEMV3/software/SYSTEM/SYSTEM.elf] return code: 4, 'other error'",1444483662061
error,log,,,"Downloading ELF Process failed",1444483662062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483702624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483702789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483704491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483711208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483713526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483719264
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1444483719270
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444483721091
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444483722031
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444483722972
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444483725015
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483735482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483737006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444483909744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444483931785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1444483934954
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483935831
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483938304
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483938929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1444483940725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444483941064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444483943051
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483943812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444483955750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444483983132
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483995105
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483996325
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483998099
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444483999622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484004964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484006140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484008271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484010880
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444484011683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484012709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484013500
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444484013509
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444484014311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484017210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484024215
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444484024223
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444484024858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484031031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444484032039
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444484032047
