what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444545437325
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444545438592
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444545439498
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444545441810
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444545457165
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444545461854
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444545464161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444545464955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444545876063
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444545876964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444545877811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546045554
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444546045566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546077866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546136571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546145797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546146452
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444546149384
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444546150599
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444546151559
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444546153881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546173915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546374571
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444546376332
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1444546378507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546400037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546412110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546456310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546457344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546462788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546463450
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444546466652
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444546467880
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444546468838
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444546471154
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444546662827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546666246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546667004
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444546669985
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444546671218
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444546672186
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444546674517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444546690416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547092812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547094023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547095308
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444547096860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547112618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547113313
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444547116309
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444547117580
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444547118499
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444547120845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547173564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547436631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547438205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547441713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547443333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547472621
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444547472633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547473912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547787380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1444547803362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1444547803503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547805902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547829419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547830727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547858556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547859737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444547860646
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444547863623
