what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400553207
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444400559688
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444400561399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400572288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400659974
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444400660108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400660970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400661780
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444400668860
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444400671358
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444400672353
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444400675915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400691283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400825971
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444400827873
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1444400832401
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1444400833850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400842710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400843452
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.line",1444400843458
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1444400844005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400844052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400844310
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444400848957
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444400851410
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444400852447
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444400855960
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444400890773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400901054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400902438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400905189
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444400907090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400909687
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444400909690
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444400910723
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/Users/MrBigBear/Desktop/SYSTEMV3/software/SYSTEM/SYSTEM.elf] return code: 4, 'other error'",1444400915658
error,log,,,"Downloading ELF Process failed",1444400915659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444400915692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444401541210
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444401547707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444401555776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444401556649
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444401561362
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444401563844
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444401564836
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444401568263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444401587895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444401662888
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444401673456
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444401674516
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444401677982
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444401736485
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444401738356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444401757850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444401786127
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444401791068
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444401791514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444401793538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444402932288
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444402933890
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444402966822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444402988656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403010870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403014268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403015207
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444403024157
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444403026811
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444403027909
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444403031340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403242732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403845298
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444403846698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403853237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403855041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403855834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403868292
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444403869622
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444403874830
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444403875374
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444403895388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444403911166
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444403912238
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444403913423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444403920474
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444403921596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1444403931735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1444403932414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1444403982257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403985798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403987052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403987962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444403989910
