what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444391881700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444391882550
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444391885018
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444391886876
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444391889199
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444391902608
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444391905261
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444391906438
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444391909832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444391933840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444392080310
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444392087715
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444392088701
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444392088955
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444392107223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444392114054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393148957
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444393148970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393155060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393164916
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1444393165639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1444393167288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1444393172426
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444393180982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393198471
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444393208530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393210663
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1444393210673
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444393211175
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444393212165
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444393215554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393356352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393577017
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444393577031
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444393601002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393608738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393610406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444393613230
