1986.000	210.000	2014.000	1639.000
2010.000	210.000	2002.000	1640.000
1997.000	1992.000	2011.000	1996.000
1994.000	1992.000	2007.000	2012.000
1998.000	1992.000	1995.000	1996.000
2014.000	1992.000	1995.000	1996.000
2011.000	1992.000	1982.000	2007.000
2000.000	1992.000	1998.000	566.000
2000.000	1992.000	1987.000	1996.000
2006.000	1992.000	2013.000	1996.000
1996.000	1992.000	2009.000	1995.000
2014.000	2000.000	1999.000	2007.000
2011.000	2000.000	1996.000	1999.000
1985.000	2000.000	2005.000	2006.000
2008.000	2002.000	2002.000	2010.000
2004.000	2002.000	2006.000	2007.000
1989.000	2002.000	2002.000	2004.000
2005.000	2002.000	2002.000	2007.000
2002.000	1996.000	1996.000	2004.000
2015.000	1993.000	2000.000	2001.000
1995.000	1993.000	2000.000	2001.000
2021.000	1993.000	1992.000	2005.000
2001.000	1993.000	1988.000	2002.000
1998.000	1993.000	2004.000	2002.000
1997.000	1993.000	1994.000	2001.000
2006.000	1993.000	1994.000	2001.000
